lokasi,harga,kamar_tidur,bangunan,lahan,alamat,kamar_mandi,sistem_alarm,gym,internet_broadband_wifi,tv_kabel,pemanas_ruangan,pendingin_ruangan,air_panas,telepon,televisi,kitchen_set,garasi,secure_parking,kolam_renang,lapangan_tenis,balkon,dek,halaman_terbuka,area_hiburan_outdoor,pagar_penuh,taman,keamanan_24_jam,taman_bermain_anak,malioboro,masjid_jogokariyan,malioboro_mall,universitas_ahmad_dahlan,terminal_giwangan,universitas_gadjah_mada,universitas_sarjanawiyata_tamansiswa,universitas_pembangunan_nasional_veteran_yogyakarta,lippo_plaza_jogja,masjid_gedhe_kauman,universitas_islam_indonesia,sleman_city_hall,institut_seni_indonesia_yogyakarta,sekolah_tinggi_teknologi_adisutjipto,universitas_jenderal_achmad_yani,universitas_tidar,jogja_city_mall,ambarrukmo_plaza,universitas_muhammadiyah_yogyakarta,monumen_jogja_kembali,stasiun_yogyakarta,universitas_teknologi_yogyakarta,universitas_negeri_yogyakarta,sman_1_teladan_yogyakarta,rs_panti_nugroho,galeria_mall,rumah_sakit_jogja_international_hospital,universitas_kristen_duta_wacana,stasiun_tugu,institut_sains_dan_teknologi_akprind,tugu_yogyakarta,universitas_aisyiyah,universitas_atmajaya_yogyakarta,rs_sardjito_yogyakarta,sman_6_yogyakarta,stmik_amikom_yogyakarta,universitas_islam_negeri_sunan_kalijaga,gereja_saint_francis_xaverius_yogyakarta,sahid_j_walk,rumah_sakit_panti_rapih,universitas_sanata_dharma_yogyakarta,sman_3_yogyakarta,jenis_rumah,kategori,latitude,longitude
Mantrijeron,3500000000,8,280,339,"Kraton, Yogyakarta, Indonesia, Mantrijeron, Yogyakarta",5,N,N,Y,Y,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,penginapan,non premium,-7.81806785,110.3597226
Wirobrajan,3900000000,3,269,469,"Tegalrejo, Yogyakarta, Indonesia, Wirobrajan, Yogyakarta",3,N,N,Y,Y,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,ruko,non premium,-7.8026238,110.3504467
Umbulharjo,1850000000,3,153,150,"Umbulharjo, Yogyakarta",2,N,N,Y,N,N,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,perumahan biasa,non premium,-7.8143777,110.3873737
Mantrijeron,3500000000,3,120,319,"Mantrijeron, Yogyakarta, Indonesia, Mantrijeron, Yogyakarta",1,N,N,Y,Y,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,non premium,-7.81806785,110.3597226
Umbulharjo,4400000000,7,549,528,"Umbulharjo, Yogyakarta, Indonesia, Umbulharjo, Yogyakarta",5,N,N,Y,Y,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,non premium,-7.8143777,110.3873737
Umbulharjo,4400000000,7,550,525,"Umbulharjo, Yogyakarta, Indonesia, Umbulharjo, Yogyakarta",5,N,N,Y,Y,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,non premium,-7.8143777,110.3873737
Umbulharjo,2600000000,4,300,160,"Umbulharjo, Yogyakarta, Indonesia, Umbulharjo, Yogyakarta",4,N,N,Y,Y,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,perumahan biasa,non premium,-7.8143777,110.3873737
Mantrijeron,2350000000,4,200,393,"Kraton, Yogyakarta, Indonesia, Mantrijeron, Yogyakarta",3,N,N,Y,Y,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,rumah biasa,non premium,-7.81806785,110.3597226
Wirobrajan,1100000000,2,50,110,"Tegalrejo, Yogyakarta, Indonesia, Wirobrajan, Yogyakarta",1,N,N,Y,Y,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,non premium,-7.8026238,110.3504467
Yogyakarta,950000000,2,75,109,"Banguntapan,  Yogyakarta",2,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,non premium,-7.7893073,110.3633321
Kotagede,450000000,10,100,111,"Gang Manuk Beri, Rejowinangun Kel., Kotagede, Yogyakarta, 55171, Indonesia, Kotagede, Yogyakarta",10,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,kost,non premium,-7.81831055,110.3979409
Umbulharjo,3000000000,7,279,265,"Umbulharjo, Yogyakarta, Indonesia, Umbulharjo, Yogyakarta",8,N,N,Y,Y,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,penginapan,non premium,-7.8143777,110.3873737
Umbulharjo,2500000000,9,389,198,"Umbulharjo, Yogyakarta",5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,non premium,-7.8143777,110.3873737
